LAT,LON,STATE,Jan-92,Feb-93,Mar-94,Apr-95,May-96,Jun-97,Jul-98,Aug-99,Sep-00,Oct-01,Nov-02,Dec-03,Jan-04,Feb-05,Mar-06,Apr-07,May-08,Jun-09,Jul-10,Aug-11,Sep-12
43.4108,-71.5653,NH  ,0.266283551,0.278755923,0.281718117,0.276368162,0.299935997,0.302342362,0.313222401,0.32781028,0.318377208,0.324203997,0.392086581,0.394813834,0.400070515,0.418203056,0.419428675,0.422802108,0.444284179,0.457984633,0.494004203,0.505589852,0.522435022
40.314,-74.5089,NJ  ,0.080894221,0.084761322,0.088150152,0.103127446,0.103791043,0.096685108,0.105391616,0.099493293,0.081223509,0.087678373,0.11113121,0.107884229,0.088860999,0.12198242,0.120583984,0.144765315,0.128772227,0.10093743,0.187515254,0.196485314,0.218772748
34.8375,-106.2371,NM  ,0.202336109,0.246730374,0.276551899,0.269575012,0.258135132,0.331408569,0.335831772,0.331096197,0.266970857,0.308432572,0.29090072,0.290307097,0.291009296,0.355180493,0.330871849,0.314867213,0.299426635,0.294138881,0.303469646,0.331661319,0.325135899
38.4199,-117.1219,NV  ,0.162152349,0.194714882,0.197758994,0.197110933,0.199976901,0.201967362,0.202487145,0.185024417,0.180895247,0.187633279,0.18940615,0.214499215,0.218830561,0.24785027,0.248502411,0.257126769,0.238418846,0.230613175,0.234414299,0.217993542,0.22838122
42.1497,-74.9384,NY  ,0.348951911,0.328358209,0.326038159,0.343283582,0.35971223,0.346297283,0.346883469,0.317365269,0.326650367,0.32679634,0.403973296,0.362454221,0.398440823,0.475458389,0.519197155,0.532030708,0.549577668,0.515955729,0.536353847,0.48826358,0.495579752
40.3736,-82.7755,OH  ,0.395082683,0.433815974,0.4603949,0.44623418,0.440971347,0.43657954,0.425996652,0.42188519,0.413623995,0.410198864,0.403101839,0.440943279,0.469056322,0.490201598,0.511941982,0.524037773,0.542663375,0.536889483,0.524226379,0.56079027,0.566317731
35.5376,-96.9247,OK ,0.209143458,0.212721752,0.214042685,0.236903106,0.283702508,0.301868101,0.147297297,0.155080214,0.141265889,0.122244869,0.213300502,0.167675218,0.241856701,0.308235724,0.338829716,0.332693824,0.311228952,0.315339289,0.346303074,0.333658413,0.363907532
44.5672,-122.1269,OR  ,0.262523349,0.29668553,0.295331162,0.338275757,0.347686469,0.381054436,0.370365246,0.362790698,0.345922417,0.406001179,0.35861901,0.392474976,0.430654122,0.477875162,0.496827929,0.482076653,0.485402029,0.469450259,0.465937249,0.50114343,0.563655424
40.5773,-77.264,PA  ,0.439876117,0.451930519,0.469693169,0.471094661,0.467229452,0.467583497,0.484224365,0.486779096,0.481060853,0.478199453,0.487236814,0.501807237,0.490874231,0.533190635,0.545701419,0.55713285,0.557245791,0.57076263,0.595052345,0.624426608,0.645805981
41.6772,-71.5101,RI  ,0.40552017,0.469072165,0.48828125,0.482676792,0.481830417,0.480176211,0.467728055,0.462562396,0.446048937,0.44650655,0.440382128,0.440827528,0.471057185,0.492610429,0.517967976,0.526524745,0.548869447,0.586997593,0.645274678,0.670999177,0.671718056
