"year"	"category"	"n"
"2005"	"Vermont"	10082
"2005"	"Virginia"	4488
"2005"	"Washington"	2022
"2005"	"West Virginia"	3605
"2005"	"Wisconsin"	3400
"2005"	"Wyoming"	2179
"2006"	"Alabama"	5015
"2006"	"Alaska"	4191
"2006"	"Arizona"	3512
"2006"	"Arkansas"	3004
"2006"	"California"	1660
"2006"	"Colorado"	5110
"2006"	"Connecticut"	6474
"2006"	"Delaware"	10024
"2006"	"Florida"	2067
"2006"	"Georgia"	1662
"2006"	"Hawaii"	2731
"2006"	"Idaho"	2138
"2006"	"Illinois"	2755
"2006"	"Indiana"	5874
"2006"	"Iowa"	5355
"2006"	"Kansas"	3606
"2006"	"Kentucky"	3467
"2006"	"Louisiana"	2748
"2006"	"Maine"	5657
"2006"	"Maryland"	6171
"2006"	"Massachusetts"	5241
"2006"	"Michigan"	6732
"2006"	"Minnesota"	4670
"2006"	"Mississippi"	3076
"2006"	"Missouri"	4307
"2006"	"Montana"	4494
"2006"	"Nebraska"	3645
"2006"	"Nevada"	2323
"2006"	"New Hampshire"	6883
"2006"	"New Jersey"	5966
"2006"	"New Mexico"	1572
"2006"	"New York"	3580
"2006"	"North Carolina"	2604
"2006"	"North Dakota"	5570
"2006"	"Ohio"	5357
"2006"	"Oklahoma"	2811
"2006"	"Oregon"	4623
"2006"	"Pennsylvania"	7121
"2006"	"Rhode Island"	7342
"2006"	"South Carolina"	5227
"2006"	"South Dakota"	4839
"2006"	"Tennessee"	3558
"2006"	"Texas"	2985
"2006"	"Utah"	3046
"2006"	"Vermont"	10818
"2006"	"Virginia"	4725
"2006"	"Washington"	2046
"2006"	"West Virginia"	3891
"2006"	"Wisconsin"	3664
"2006"	"Wyoming"	2277
"2007"	"Alabama"	5181
"2007"	"Alaska"	4527
"2007"	"Arizona"	3853
"2007"	"Arkansas"	3202
"2007"	"California"	1682
"2007"	"Colorado"	5010
"2007"	"Connecticut"	6647
"2007"	"Delaware"	10767
"2007"	"Florida"	2083
"2007"	"Georgia"	1865
"2007"	"Hawaii"	3289
"2007"	"Idaho"	2336
"2007"	"Illinois"	2989
"2007"	"Indiana"	5998
"2007"	"Iowa"	5731
"2007"	"Kansas"	4076
"2007"	"Kentucky"	3986
"2007"	"Louisiana"	2634
"2007"	"Maine"	6078
"2007"	"Maryland"	6197
"2007"	"Massachusetts"	5479
"2007"	"Michigan"	7218
"2007"	"Minnesota"	4925
"2007"	"Mississippi"	3314
"2007"	"Missouri"	4261
"2007"	"Montana"	4827
"2007"	"Nebraska"	3376
"2007"	"Nevada"	2362
"2007"	"New Hampshire"	8013
"2007"	"New Jersey"	6349
"2007"	"New Mexico"	1259
"2007"	"New York"	3659
"2007"	"North Carolina"	2643
"2007"	"North Dakota"	6075
"2007"	"Ohio"	5809
"2007"	"Oklahoma"	3024
"2007"	"Oregon"	4910
"2007"	"Pennsylvania"	7285
"2007"	"Rhode Island"	7966
"2007"	"South Carolina"	5334
"2007"	"South Dakota"	5254
"2007"	"Tennessee"	3459
"2007"	"Texas"	3551
"2007"	"Utah"	3244
"2007"	"Vermont"	11631
"2007"	"Virginia"	4909
"2007"	"Washington"	2215
"2007"	"West Virginia"	4075
"2007"	"Wisconsin"	3896
"2007"	"Wyoming"	2253
"2008"	"Alabama"	5149
"2008"	"Alaska"	4922
"2008"	"Arizona"	4087
"2008"	"Arkansas"	3317
"2008"	"California"	1780
"2008"	"Colorado"	5531
"2008"	"Connecticut"	6993
"2008"	"Delaware"	11065
"2008"	"Florida"	2059
"2008"	"Georgia"	2042
"2008"	"Hawaii"	3653
"2008"	"Idaho"	2090
"2008"	"Illinois"	3194
"2008"	"Indiana"	6474
"2008"	"Iowa"	5942
"2008"	"Kansas"	4417
"2008"	"Kentucky"	4388
"2008"	"Louisiana"	2478
"2008"	"Maine"	6654
"2008"	"Maryland"	6174
"2008"	"Massachusetts"	5757
"2008"	"Michigan"	7861
"2008"	"Minnesota"	5172
"2008"	"Mississippi"	3561
"2008"	"Missouri"	4476
"2008"	"Montana"	4856
"2008"	"Nebraska"	3876
"2008"	"Nevada"	2531
"2008"	"New Hampshire"	8382
"2008"	"New Jersey"	6726
"2008"	"New Mexico"	1022
"2008"	"New York"	3698
"2008"	"North Carolina"	2682
"2008"	"North Dakota"	6085
"2008"	"Ohio"	5769
"2008"	"Oklahoma"	3300
"2008"	"Oregon"	4985
"2008"	"Pennsylvania"	7735
"2008"	"Rhode Island"	8654
"2008"	"South Carolina"	5414
"2008"	"South Dakota"	5151
"2008"	"Tennessee"	3608
"2008"	"Texas"	3801
"2008"	"Utah"	3585
"2008"	"Vermont"	12334
"2008"	"Virginia"	5273
"2008"	"Washington"	2013
"2008"	"West Virginia"	4339
"2008"	"Wisconsin"	3893
"2008"	"Wyoming"	2266
"2009"	"Alabama"	5483
"2009"	"Alaska"	5161
"2009"	"Arizona"	4402
"2009"	"Arkansas"	3767
"2009"	"California"	1869
"2009"	"Colorado"	5956
"2009"	"Connecticut"	7239
"2009"	"Delaware"	11715
"2009"	"Florida"	2250
"2009"	"Georgia"	1955
"2009"	"Hawaii"	4226
"2009"	"Idaho"	2269
"2009"	"Illinois"	3701
"2009"	"Indiana"	6733
"2009"	"Iowa"	6283
"2009"	"Kansas"	4498
"2009"	"Kentucky"	4692
"2009"	"Louisiana"	2370
"2009"	"Maine"	7604
"2009"	"Maryland"	6235
"2009"	"Massachusetts"	5878
"2009"	"Michigan"	8324
"2009"	"Minnesota"	5363
"2009"	"Mississippi"	3323
"2009"	"Missouri"	4751
"2009"	"Montana"	4997
"2009"	"Nebraska"	4056
"2009"	"Nevada"	2721
"2009"	"New Hampshire"	8530
"2009"	"New Jersey"	7391
"2009"	"New Mexico"	1822
"2009"	"New York"	3857
"2009"	"North Carolina"	2529
"2009"	"North Dakota"	6340
"2009"	"Ohio"	5611
"2009"	"Oklahoma"	3836
"2009"	"Oregon"	4654
"2009"	"Pennsylvania"	8401
"2009"	"Rhode Island"	9425
"2009"	"South Carolina"	5200
"2009"	"South Dakota"	5278
"2009"	"Tennessee"	3640
"2009"	"Texas"	3562
"2009"	"Utah"	3458
"2009"	"Vermont"	13362
"2009"	"Virginia"	5631
"2009"	"Washington"	2044
"2009"	"West Virginia"	4729
"2009"	"Wisconsin"	3947
"2009"	"Wyoming"	1842
"2010"	"Alabama"	6580
"2010"	"Alaska"	5246
"2010"	"Arizona"	4723
"2010"	"Arkansas"	3721
"2010"	"California"	2164
"2010"	"Colorado"	6449
"2010"	"Connecticut"	7280
"2010"	"Delaware"	12708
"2010"	"Florida"	2586
"2010"	"Georgia"	1895
"2010"	"Hawaii"	4616
"2010"	"Idaho"	2577
"2010"	"Illinois"	3908
"2010"	"Indiana"	6898
"2010"	"Iowa"	6632
"2010"	"Kansas"	4669
"2010"	"Kentucky"	4785
"2010"	"Louisiana"	2487
"2010"	"Maine"	7806
"2010"	"Maryland"	6599
"2010"	"Massachusetts"	5984
"2010"	"Michigan"	8779
"2010"	"Minnesota"	6457
"2010"	"Mississippi"	4143
"2010"	"Missouri"	4174
"2010"	"Montana"	5043
"2010"	"Nebraska"	3578
"2010"	"Nevada"	2808
"2010"	"New Hampshire"	8299
"2010"	"New Jersey"	7310
"2010"	"New Mexico"	1745
"2010"	"New York"	4147
"2010"	"North Carolina"	2345
"2010"	"North Dakota"	6229
"2010"	"Ohio"	5824
"2010"	"Oklahoma"	3462
"2010"	"Oregon"	4689
"2010"	"Pennsylvania"	8856
"2010"	"Rhode Island"	9899
"2010"	"South Carolina"	5911
"2010"	"South Dakota"	6257
"2010"	"Tennessee"	3815
"2010"	"Texas"	3889
"2010"	"Utah"	3921
"2010"	"Vermont"	12606
"2010"	"Virginia"	5849
"2010"	"Washington"	2411
"2010"	"West Virginia"	4771
"2010"	"Wisconsin"	4230
"2010"	"Wyoming"	1643
"2011"	"Alabama"	6590
"2011"	"Alaska"	5511
"2011"	"Arizona"	5083
"2011"	"Arkansas"	4080
"2011"	"California"	2493
"2011"	"Colorado"	7020
"2011"	"Connecticut"	7883
"2011"	"Delaware"	13402
"2011"	"Florida"	2674
"2011"	"Georgia"	2289
"2011"	"Hawaii"	4980
"2011"	"Idaho"	2872
"2011"	"Illinois"	4386
"2011"	"Indiana"	6693
"2011"	"Iowa"	6971
"2011"	"Kansas"	4927
"2011"	"Kentucky"	5036
"2011"	"Louisiana"	2534
"2011"	"Maine"	7986
"2011"	"Maryland"	6709
"2011"	"Massachusetts"	6322
"2011"	"Michigan"	9455
"2011"	"Minnesota"	7436
"2011"	"Mississippi"	3977
"2011"	"Missouri"	5199
"2011"	"Montana"	5175
"2011"	"Nebraska"	3784
"2011"	"Nevada"	3110
"2011"	"New Hampshire"	8987
"2011"	"New Jersey"	7828
"2011"	"New Mexico"	2182
"2011"	"New York"	4185
"2011"	"North Carolina"	2617
"2011"	"North Dakota"	6379
"2011"	"Ohio"	5850
"2011"	"Oklahoma"	3626
"2011"	"Oregon"	5718
"2011"	"Pennsylvania"	9458
"2011"	"Rhode Island"	10649
"2011"	"South Carolina"	5679
"2011"	"South Dakota"	6608
"2011"	"Tennessee"	4099
"2011"	"Texas"	4041
"2011"	"Utah"	4331
"2011"	"Vermont"	12731
"2011"	"Virginia"	6430
"2011"	"Washington"	3004
"2011"	"West Virginia"	4980
"2011"	"Wisconsin"	4381
"2011"	"Wyoming"	1794
