"year"	"category"	"n"	"l"
"2006"	"New Jersey"	7077	9661
"2006"	"New Mexico"	1864	11015
"2006"	"New York"	4333	9155
"2006"	"North Carolina"	3088	8922
"2006"	"North Dakota"	6607	5811
"2006"	"Ohio"	6657	6046
"2006"	"Oklahoma"	3334	6688
"2006"	"Oregon"	5483	5891
"2006"	"Pennsylvania"	8446	6714
"2006"	"Rhode Island"	8709	7831
"2006"	"South Carolina"	6199	6746
"2006"	"South Dakota"	5739	5278
"2006"	"Tennessee"	4220	7671
"2006"	"Texas"	3541	7444
"2006"	"Utah"	3613	7048
"2006"	"Vermont"	12832	3594
"2006"	"Virginia"	5604	6195
"2006"	"Washington"	3203	7635
"2006"	"West Virginia"	4615	4980
"2006"	"Wisconsin"	4346	7070
"2006"	"Wyoming"	2701	13019
"2007"	"Alabama"	5935	7604
"2007"	"Alaska"	5186	15885
"2007"	"Arizona"	4414	7863
"2007"	"Arkansas"	3691	7211
"2007"	"California"	2232	9207
"2007"	"Colorado"	5738	4536
"2007"	"Connecticut"	7613	11539
"2007"	"Delaware"	12332	8129
"2007"	"Florida"	2386	8449
"2007"	"Georgia"	2136	9250
"2007"	"Hawaii"	3767	13968
"2007"	"Idaho"	2675	9186
"2007"	"Illinois"	3424	8158
"2007"	"Indiana"	6870	6141
"2007"	"Iowa"	6564	6880
"2007"	"Kansas"	4668	6812
"2007"	"Kentucky"	4565	8033
"2007"	"Louisiana"	3017	7605
"2007"	"Maine"	6961	7219
"2007"	"Maryland"	7098	8521
"2007"	"Massachusetts"	6276	9384
"2007"	"Michigan"	8268	6888
"2007"	"Minnesota"	5641	6856
"2007"	"Mississippi"	3796	6508
"2007"	"Missouri"	4881	7421
"2007"	"Montana"	5528	4922
"2007"	"Nebraska"	3866	8423
"2007"	"Nevada"	2705	9838
"2007"	"New Hampshire"	9178	3880
"2007"	"New Jersey"	7272	9096
"2007"	"New Mexico"	1443	9760
"2007"	"New York"	4275	9724
"2007"	"North Carolina"	3027	9670
"2007"	"North Dakota"	6958	5703
"2007"	"Ohio"	6965	5869
"2007"	"Oklahoma"	3463	7664
"2007"	"Oregon"	5624	5962
"2007"	"Pennsylvania"	8344	6629
"2007"	"Rhode Island"	9124	7499
"2007"	"South Carolina"	6110	6900
"2007"	"South Dakota"	6018	5573
"2007"	"Tennessee"	3961	7934
"2007"	"Texas"	4067	7454
"2007"	"Utah"	3715	7230
"2007"	"Vermont"	13322	3583
"2007"	"Virginia"	5622	6739
"2007"	"Washington"	3315	7753
"2007"	"West Virginia"	4667	5267
"2007"	"Wisconsin"	4463	7174
"2007"	"Wyoming"	2581	14546
"2008"	"Alabama"	5729	8422
"2008"	"Alaska"	5476	16216
"2008"	"Arizona"	4547	8295
"2008"	"Arkansas"	3691	7211
"2008"	"California"	1462	9082 
"2008"	"Colorado"	6154	4645
"2008"	"Connecticut"	7781	11974
"2008"	"Delaware"	12312	8040
"2008"	"Florida"	2299	7992
"2008"	"Georgia"	2272	9144
"2008"	"Hawaii"	4064	14631
"2008"	"Idaho"	2325	9664
"2008"	"Illinois"	3554	8268
"2008"	"Indiana"	6415	5978
"2008"	"Iowa"	6611	7090
"2008"	"Kansas"	4915	6958
"2008"	"Kentucky"	4882	8378
"2008"	"Louisiana"	2757	8621
"2008"	"Maine"	7404	7432
"2008"	"Maryland"	6870	8423
"2008"	"Massachusetts"	6405	9485
"2008"	"Michigan"	8795	6613
"2008"	"Minnesota"	5755	7380
"2008"	"Mississippi"	3962	7270
"2008"	"Missouri"	5046	7334
"2008"	"Montana"	5403	5496
"2008"	"Nebraska"	4312	8768
"2008"	"Nevada"	2816	9673
"2008"	"New Hampshire"	9449	3945
"2008"	"New Jersey"	7483	8856
"2008"	"New Mexico"	1137	10131
"2008"	"New York"	4200	9787
"2008"	"North Carolina"	2985	9958
"2008"	"North Dakota"	6770	6352
"2008"	"Ohio"	6718	5795
"2008"	"Oklahoma"	3671	7971
"2008"	"Oregon"	5546	6268
"2008"	"Pennsylvania"	8607	6473
"2008"	"Rhode Island"	9629	6775
"2008"	"South Carolina"	6024	7002
"2008"	"South Dakota"	5731	6052
"2008"	"Tennessee"	4014	8284
"2008"	"Texas"	4229	8145
"2008"	"Utah"	3989	7926
"2008"	"Vermont"	13723	3554
"2008"	"Virginia"	5868	6459
"2008"	"Washington"	3361	7886
"2008"	"West Virginia"	4828	6471
"2008"	"Wisconsin"	4331	7331
"2008"	"Wyoming"	2522	14374
"2009"	"Alabama"	6005	6252
"2009"	"Alaska"	5652	16216
"2009"	"Arizona"	4820	7976
"2009"	"Arkansas"	4126	7090
"2009"	"California"	1678	8189
"2009"	"Colorado"	6523	5024
"2009"	"Connecticut"	7928	11273
"2009"	"Delaware"	12830	7791
"2009"	"Florida"	1919	6888
"2009"	"Georgia"	2141	8182
"2009"	"Hawaii"	4628	14812
"2009"	"Idaho"	2485	9431
"2009"	"Illinois"	4053	8304
"2009"	"Indiana"	6732	6074
"2009"	"Iowa"	6881	7165
"2009"	"Kansas"	4926	6742
"2009"	"Kentucky"	5138	7811
"2009"	"Louisiana"	2595	8319
"2009"	"Maine"	8328	7174
"2009"	"Maryland"	6829	7779
"2009"	"Massachusetts"	6438	8173
"2009"	"Michigan"	9134	6321
"2009"	"Minnesota"	5863	7036
"2009"	"Mississippi"	3232	6623
"2009"	"Missouri"	5059	7171
"2009"	"Montana"	5472	5569
"2009"	"Nebraska"	4441	8426
"2009"	"Nevada"	2980	9233
"2009"	"New Hampshire"	9456	3886
"2009"	"New Jersey"	8094	8290
"2009"	"New Mexico"	1995	8645
"2009"	"New York"	4311	9558
"2009"	"North Carolina"	2812	8761
"2009"	"North Dakota"	6943	6002
"2009"	"Ohio"	6542	5937
"2009"	"Oklahoma"	4201	7928
"2009"	"Oregon"	5115	5864
"2009"	"Pennsylvania"	9201	6261
"2009"	"Rhode Island"	10321	5674
"2009"	"South Carolina"	5789	5536
"2009"	"South Dakota"	5780	5610
"2009"	"Tennessee"	3986	8143
"2009"	"Texas"	3901	7671
"2009"	"Utah"	3787	7115
"2009"	"Vermont"	14633	3244
"2009"	"Virginia"	6167	6205
"2009"	"Washington"	3329	7433
"2009"	"West Virginia"	5179	5479
"2009"	"Wisconsin"	4323	7360
"2009"	"Wyoming"	2017	14983
"2010"	"Alabama"	7094	5841
"2010"	"Alaska"	5662	16751
"2010"	"Arizona"	5097	6997
"2010"	"Arkansas"	3909	6998
"2010"	"California"	1894	7350
"2010"	"Colorado"	6959	4742
"2010"	"Connecticut"	7856	11287
"2010"	"Delaware"	13713	7358
"2010"	"Florida"	2433	6073
"2010"	"Georgia"	2045	7521
"2010"	"Hawaii"	4981	12828
"2010"	"Idaho"	2781	7778
"2010"	"Illinois"	4218	8627
"2010"	"Indiana"	7134	5861
"2010"	"Iowa"	7157	6341
"2010"	"Kansas"	5038	6167
"2010"	"Kentucky"	5163	7292
"2010"	"Louisiana"	2683	7086
"2010"	"Maine"	8424	6760
"2010"	"Maryland"	7165	7750
"2010"	"Massachusetts"	6458	7406
"2010"	"Michigan"	9527	5693
"2010"	"Minnesota"	7303	6557
"2010"	"Mississippi"	3009	6769
"2010"	"Missouri"	4362	6494
"2010"	"Montana"	5442	5243
"2010"	"Nebraska"	3861	7864
"2010"	"Nevada"	3030	8101
"2010"	"New Hampshire"	9057	3523
"2010"	"New Jersey"	7888	7714
